snapshot_id,account_id,snapshot_year,snapshot_month,month_label,closing_balance,txn_count,fees_charged
1,5308,2023,1,2023-01,39876.04,3,19.15
2,5308,2023,2,2023-02,44457.05,36,16.1
3,5308,2023,3,2023-03,45439.48,37,10.82
4,5308,2023,4,2023-04,43697.41,3,12.01
5,5308,2023,5,2023-05,48170.0,37,3.13
6,5308,2023,6,2023-06,49124.52,22,22.42
7,5308,2023,7,2023-07,50438.1,14,28.96
8,5308,2023,8,2023-08,48590.06,29,25.03
9,5308,2023,9,2023-09,50311.82,40,19.69
10,5308,2023,10,2023-10,53679.44,12,4.34
11,5308,2023,11,2023-11,52004.69,40,1.61
12,5308,2023,12,2023-12,54259.3,34,34.78
13,5308,2024,1,2024-01,46503.81,42,0.2
14,5308,2024,2,2024-02,45512.47,25,14.56
15,5308,2024,3,2024-03,47286.3,20,17.28
16,5308,2024,4,2024-04,46558.53,6,18.07
17,5308,2024,5,2024-05,45376.0,27,8.76
18,5308,2024,6,2024-06,44202.91,25,30.58
19,5237,2023,1,2023-01,16086.95,7,21.57
20,5237,2023,2,2023-02,16574.7,19,13.93
21,5237,2023,3,2023-03,19556.56,0,23.67
22,5237,2023,4,2023-04,20916.41,28,11.18
23,5237,2023,5,2023-05,22447.23,25,0.84
24,5237,2023,6,2023-06,23744.02,26,32.73
25,5237,2023,7,2023-07,28743.16,5,5.83
26,5237,2023,8,2023-08,26026.21,30,24.96
27,5237,2023,9,2023-09,29797.56,37,33.13
28,5237,2023,10,2023-10,33751.4,35,4.88
29,5237,2023,11,2023-11,38064.24,42,33.91
30,5237,2023,12,2023-12,37217.67,15,16.53
31,5237,2024,1,2024-01,17551.64,25,24.73
32,5237,2024,2,2024-02,21470.98,40,10.02
33,5237,2024,3,2024-03,25430.26,42,7.43
34,5237,2024,4,2024-04,29920.57,5,20.55
35,5237,2024,5,2024-05,29724.81,14,1.32
36,5237,2024,6,2024-06,31673.29,18,14.41
37,5360,2023,1,2023-01,47631.68,33,8.12
38,5360,2023,2,2023-02,48961.12,42,2.99
39,5360,2023,3,2023-03,53060.27,23,0.58
40,5360,2023,4,2023-04,53265.74,20,8.17
41,5360,2023,5,2023-05,52661.95,38,25.19
42,5360,2023,6,2023-06,52284.13,37,34.75
43,5360,2023,7,2023-07,56841.57,0,3.6
44,5360,2023,8,2023-08,57977.73,44,11.89
45,5360,2023,9,2023-09,61636.2,35,33.47
46,5360,2023,10,2023-10,65910.77,16,14.71
47,5360,2023,11,2023-11,70086.62,18,18.23
48,5360,2023,12,2023-12,73367.74,44,17.77
49,5360,2024,1,2024-01,39959.52,8,32.6
50,5360,2024,2,2024-02,38192.97,10,10.54
51,5360,2024,3,2024-03,39039.48,40,27.78
52,5360,2024,4,2024-04,37555.89,14,14.43
53,5360,2024,5,2024-05,35877.63,41,21.83
54,5360,2024,6,2024-06,38026.93,20,20.87
55,5002,2023,1,2023-01,16850.28,6,33.38
56,5002,2023,2,2023-02,16058.09,2,13.17
57,5002,2023,3,2023-03,18860.47,17,26.33
58,5002,2023,4,2023-04,16280.74,43,0.16
59,5002,2023,5,2023-05,17072.07,18,16.34
60,5002,2023,6,2023-06,21551.62,6,20.05
61,5002,2023,7,2023-07,19115.11,9,1.23
62,5002,2023,8,2023-08,21425.65,6,2.34
63,5002,2023,9,2023-09,19288.76,27,24.02
64,5002,2023,10,2023-10,22232.44,9,29.01
65,5002,2023,11,2023-11,20727.67,44,1.64
66,5002,2023,12,2023-12,20513.27,25,9.83
67,5002,2024,1,2024-01,46515.04,41,0.18
68,5002,2024,2,2024-02,49132.25,14,20.37
69,5002,2024,3,2024-03,51374.85,43,23.7
70,5002,2024,4,2024-04,48451.77,39,16.75
71,5002,2024,5,2024-05,52227.48,2,33.51
72,5002,2024,6,2024-06,54120.44,11,3.3
73,5060,2023,1,2023-01,47235.92,21,14.45
74,5060,2023,2,2023-02,49486.05,6,20.88
75,5060,2023,3,2023-03,51569.63,37,16.82
76,5060,2023,4,2023-04,51360.02,10,12.71
77,5060,2023,5,2023-05,50365.64,42,2.14
78,5060,2023,6,2023-06,51636.52,13,12.74
79,5060,2023,7,2023-07,55880.97,37,28.0
80,5060,2023,8,2023-08,55198.24,29,4.47
81,5060,2023,9,2023-09,55178.39,8,24.42
82,5060,2023,10,2023-10,53146.54,8,0.71
83,5060,2023,11,2023-11,58044.42,40,27.54
84,5060,2023,12,2023-12,60645.81,20,0.19
85,5060,2024,1,2024-01,29727.44,6,21.58
86,5060,2024,2,2024-02,28418.95,23,21.99
87,5060,2024,3,2024-03,29759.91,28,2.94
88,5060,2024,4,2024-04,28468.12,17,9.04
89,5060,2024,5,2024-05,28015.96,14,33.29
90,5060,2024,6,2024-06,31417.77,44,5.41
91,5337,2023,1,2023-01,53484.94,12,14.89
92,5337,2023,2,2023-02,58182.34,7,33.55
93,5337,2023,3,2023-03,58940.17,33,6.34
94,5337,2023,4,2023-04,55984.09,6,17.18
95,5337,2023,5,2023-05,53346.1,43,29.02
96,5337,2023,6,2023-06,50420.2,44,14.1
97,5337,2023,7,2023-07,55135.23,44,11.31
98,5337,2023,8,2023-08,55516.02,34,16.08
99,5337,2023,9,2023-09,59935.28,23,11.93
100,5337,2023,10,2023-10,61528.99,6,1.15
101,5337,2023,11,2023-11,65081.21,8,27.79
102,5337,2023,12,2023-12,70068.42,27,21.0
103,5337,2024,1,2024-01,26242.09,34,6.79
104,5337,2024,2,2024-02,31153.5,34,16.02
105,5337,2024,3,2024-03,35762.8,22,0.24
106,5337,2024,4,2024-04,34309.42,18,1.15
107,5337,2024,5,2024-05,37700.24,5,29.7
108,5337,2024,6,2024-06,35074.39,28,14.04
