account_id,customer_id,account_type,account_status,open_date,balance,currency,branch_id,interest_rate
5001,1023,savings account,Closed,"Aug 09, 2016",5879455,dollars,9,0.0585
5002,1062,SAV,C,11-Nov-2021,58638.09,US Dollar,3,2.26%
5003,1108,CHK,closed,12/10/2021,1964714,USD,12,0.0791
5004,1198,Savings,1,04/27/2020,"$4,037.40",USD,16,6.58
5005,1172,Checking,Active,"Oct 01, 2018",54635.6,$,20,2.47%
5006,1027,Checking,closed,"Oct 18, 2015",14538.39,USD,8,0.044
5007,1108,Savings,Inactive,2018-08-28,"$57,370.89",$,8,0.0261
5008,1189,CREDIT,INACTIVE,"Jun 07, 2020","$16,596.22",usd,2,1.51
5009,1056,CD,active,01-Feb-2022,"$32,616.74",usd,12,0.042
5010,1086,checking account,Active,"Mar 21, 2020","$58,684.00",USD,15,0.0296
5011,1195,LOC,A,11/09/2021,75287.97,US Dollar,6,2.1
5012,1106,cert_deposit,CLOSED,"Feb 17, 2018","$73,218.02",usd,1,5.14%
5013,1064,LOC,Closed,2015-01-21,49044.43,US Dollar,14,7.62
5014,1121,cert_deposit,Active,"Feb 06, 2016","$35,897.15",dollars,15,4.35
5015,1022,CertDeposit,inactive,01/08/2019,562.17,dollars,10,0.0765
5016,1005,Certificate of Deposit,0,"Jul 18, 2021",2556353,dollars,1,7.01
5017,1198,checking account,INACTIVE,2022-01-11,59618.03,usd,15,6.53%
5018,1099,LOC,closed,11/13/2021,2297.06,dollars,18,6.27
5019,1159,LOC,Inactive,2019-01-30,7920680,US Dollar,2,7.62
5020,1094,CD,C,11/27/2022,"$2,994.76",$,3,2.23
5021,1086,savings,closed,11/18/2022,9209.18,dollars,7,6.16
5022,1091,SAVINGS,closed,"Nov 15, 2018",57659.39,$,15,1.38%
5023,1121,CertDeposit,0,07/20/2022,7006991,$,3,4.16%
5024,1023,checking,Closed,23-Mar-2016,76274.37,$,6,0.0771
5025,1179,checking account,CLOSED,"Apr 03, 2015","$12,367.58",usd,10,4.64
5026,1122,Line of Credit,Closed,01-Apr-2015,3745003,USD,8,0.0304
5027,1149,LOC,0,"Oct 25, 2022",5473738,$,17,4.4
5028,1078,checking account,inactive,03/26/2018,25705.32,$,2,2.59%
5029,1073,CD,active,01/16/2017,"$52,392.88",usd,6,5.98%
5030,1061,CHECKING,Active,02/23/2019,84467.59,US Dollar,6,1.89%
5031,1171,LOC,Open,2020-12-25,12149.23,dollars,10,0.0478
5032,1104,Certificate of Deposit,inactive,18-Jan-2015,11930.32,dollars,18,0.0749
5033,1122,savings account,inactive,04-Mar-2023,83348.98,US Dollar,15,5.67
5034,1188,Certificate of Deposit,Active,07/04/2019,1142069,US Dollar,20,0.0182
5035,1092,checking,Open,2018-02-12,4205.38,usd,7,0.0508
5036,1138,CD,0,07-Mar-2017,56918.19,USD,16,7.83%
5037,1171,Line of Credit,Closed,19-Feb-2015,12149.38,dollars,10,3.59%
5038,1079,CD,INACTIVE,"Apr 26, 2023",47468.32,usd,14,6.09%
5039,1042,CREDIT,Inactive,12/19/2015,76144.66,usd,5,6.85
5040,1122,cert_deposit,Open,28-Jan-2015,515289,US Dollar,14,0.0629
5041,1045,CertDeposit,CLOSED,"Mar 31, 2018",60226.12,usd,18,2.39%
5042,1078,savings account,CLOSED,22-Sep-2016,4731853,dollars,9,0.0257
5043,1032,savings account,Closed,12-Jul-2020,1483633,usd,3,1.20%
5044,1145,CREDIT,INACTIVE,2019-03-09,21551.44,dollars,17,0.0782
5045,1042,Checking,active,"Jan 21, 2018",26832.74,usd,12,0.035
5046,1013,savings account,1,01/20/2017,44781.85,USD,4,4.6
5047,1081,savings account,1,2018-12-11,"$58,105.44",$,5,1.67
5048,1133,savings account,Open,02/24/2016,"$66,088.07",dollars,7,0.0338
5049,1049,CertDeposit,C,"Mar 07, 2021",5846532,US Dollar,4,6.92
5050,1020,CHECKING,INACTIVE,10/01/2022,1072035,USD,12,4.36%
5051,1153,cert_deposit,inactive,05/08/2023,"$82,444.53",usd,4,0.0597
5052,1178,checking account,Inactive,2019-10-07,18872.11,usd,4,0.0247
5053,1199,Certificate of Deposit,inactive,2020-10-04,3637166,usd,19,1.75
5054,1031,SAVINGS,Active,09/30/2021,"$5,164.15",USD,7,0.0628
5055,1172,Line of Credit,Active,12/13/2018,7261.63,$,6,7.64%
5056,1026,CHK,closed,2023-06-16,18053.34,usd,18,0.0775
5057,1055,cert_deposit,INACTIVE,12/06/2019,60013.15,$,4,0.0589
5058,1098,CREDIT,A,2016-05-21,"$43,468.46",dollars,15,1.79%
5059,1127,Line of Credit,Inactive,18-Apr-2016,2414719,USD,13,1.58%
5060,1154,savings account,0,04/05/2018,82963.31,dollars,14,2.58%
5061,1122,Line of Credit,active,2019-11-30,593.19,dollars,17,5.70%
5062,1037,line_of_credit,Closed,09/23/2015,58925.67,USD,12,0.0619
5063,1052,line_of_credit,ACTIVE,01-Jan-2023,1941034,dollars,19,6.08%
5064,1092,Certificate of Deposit,0,"Feb 16, 2018",51070.64,dollars,5,7.91
5065,1032,SAVINGS,CLOSED,"Aug 05, 2015",42016.91,usd,3,1.21
5066,1046,line_of_credit,C,"Jan 30, 2016",5757197,usd,3,3.12
5067,1052,savings account,0,2021-01-23,42070.37,US Dollar,18,2.83%
5068,1111,CHECKING,Closed,15-May-2015,"$37,984.88",dollars,6,0.041
5069,1126,CREDIT,active,"May 19, 2021",2621530,dollars,16,0.0441
5070,1144,SAV,closed,01-Dec-2021,4265.52,$,12,4.46%
5071,1016,CHK,C,19-Jul-2021,335763,$,1,3.44
5072,1025,CREDIT,Open,09/27/2017,84311.34,dollars,8,3.46
5073,1152,checking,Inactive,22-Mar-2015,5100.27,$,18,0.018
5074,1118,CREDIT,C,2020-04-07,43511.96,dollars,19,2.87
5075,1097,line_of_credit,Open,"Apr 23, 2017",48452.05,dollars,11,1.7
5076,1043,savings account,Open,03-Jan-2021,82386.07,usd,7,0.0448
5077,1013,savings account,C,2023-01-18,33873.34,usd,19,0.0537
5078,1070,checking,C,11-Nov-2015,6800137,dollars,10,3.99%
5079,1170,CertDeposit,Open,01/31/2020,16606.58,dollars,18,2.76
5080,1161,cert_deposit,INACTIVE,"Mar 29, 2020",15449.08,dollars,9,2.49
5081,1134,Savings,Open,"May 14, 2018",39042.61,usd,14,2.05
5082,1017,Savings,INACTIVE,09/14/2022,3476348,$,20,5.52%
5083,1062,CHECKING,active,"Mar 16, 2020",1590882,usd,16,6.58%
5084,1166,Checking,A,05/21/2022,13125.15,usd,18,1.20%
