rate_date,base_currency,EUR,GBP,JPY,CAD,MXN,AUD,BRL,CHF
2023-01-02,USD,0.9268,0.7965,148.2422,1.3454,16.9606,1.5067,4.9097,0.8836
2023-01-03,USD,0.9306,0.7993,147.2777,1.3638,17.2956,1.5392,4.9245,0.8909
2023-01-04,USD,0.9182,0.7816,147.6961,1.3633,17.5197,1.5148,4.9025,0.8988
2023-01-05,USD,0.9043,0.7994,150.0729,1.3823,17.3456,1.5186,4.9979,0.9106
2023-01-06,USD,0.9193,0.8002,151.9766,1.3503,17.5023,1.5595,4.9462,0.9062
2023-01-09,USD,0.9175,0.7883,152.4382,1.3551,17.1896,1.5084,4.9122,0.9083
2023-01-10,USD,0.9165,0.8001,149.8708,1.3471,17.081,1.5357,4.9384,0.9067
2023-01-11,USD,0.9324,0.793,151.5103,1.3342,17.4355,1.5136,4.9545,0.903
2023-01-12,USD,0.925,0.787,149.1061,1.3834,17.5236,1.5545,4.8846,0.9121
2023-01-13,USD,0.9239,0.7942,151.4078,1.3377,16.8841,1.52,4.9059,0.9019
2023-01-16,USD,0.9106,0.7968,152.0116,1.3426,17.0847,1.5436,4.9452,0.9022
2023-01-17,USD,0.9345,0.7843,146.9618,1.3788,16.9091,1.5028,5.0347,0.8945
2023-01-18,USD,0.9131,0.7772,149.5908,1.3835,16.9736,1.5248,4.9928,0.8891
2023-01-19,USD,0.9297,0.7903,147.882,1.3477,17.4582,1.556,4.9474,0.8837
2023-01-20,USD,0.9071,0.7752,151.9719,1.3625,16.9534,1.5188,4.9462,0.9064
2023-01-23,USD,0.9267,0.7766,147.6627,1.3603,17.1134,1.5211,4.9504,0.8923
2023-01-24,USD,0.903,0.7836,149.5876,1.3826,17.4641,1.5317,5.0296,0.9034
2023-01-25,USD,0.9046,0.789,146.5455,1.3745,17.4682,1.5251,5.0549,0.8912
2023-01-26,USD,0.9275,0.7975,152.4012,1.3845,17.15,1.5556,4.9583,0.883
2023-01-27,USD,0.9046,0.781,148.3862,1.3408,16.8618,1.5252,4.9424,0.8962
2023-01-30,USD,0.9055,0.787,150.3705,1.3427,17.3267,1.5197,4.9795,0.8948
2023-01-31,USD,0.9216,0.7798,147.1143,1.3421,17.2083,1.5579,4.9759,0.8895
2023-02-01,USD,0.9134,0.7821,147.1204,1.3461,16.9211,1.5556,4.9851,0.8884
