loan_id,customer_id,loan_type,principal_amount,interest_rate,term_months,start_date,loan_status,monthly_payment,outstanding_balance
1,1121,mortgage,"$11,360.59",0.1584,12,"Oct 13, 2019",delinquent,1029.9,9474.44
2,1026,MORTGAGE,21676.49,16.37,360,2021-12-05,Default,297.97,14091.19
3,1113,mortgage,"$229,420.30",16.35,120,06/02/2021,In Review,3893.28,163027.45
4,1031,mortgage,8991360,17.98%,12,04/04/2023,Delinquent,8242.42,30163.92
5,1105,auto,83578.42,0.1382,120,08/27/2021,default,,9977.34
6,1084,Personal,24157060,12.84,180,"May 21, 2018",in_review,,79608.1
7,1116,Personal,1840965,0.1285,12,02-Nov-2020,CURRENT,1643.0,17470.94
8,1097,PERSONAL,"$15,976.92",8.21,360,06/18/2019,paid_off,119.58,9472.51
9,1191,student,51408.91,3.20%,60,"Mar 03, 2021",paid_off,,32299.96
10,1084,personal,983135,6.79,12,"Nov 24, 2022",Delinquent,849.72,5020.11
11,1052,personal,1106276,4.87%,180,2018-01-05,in_review,86.74,7892.83
12,1089,auto,"$5,894.40",10.7,120,31-Mar-2020,Default,80.2,
13,1144,personal,"$4,118.00",5.87,120,03/07/2019,In Review,45.45,2175.13
14,1024,Mortgage,59466.7,0.1052,120,02/15/2022,DEFAULT,803.08,46384.73
15,1100,student,106640.17,10.83,120,"May 22, 2019",in_review,1458.73,24618.72
16,1062,Student,8008889,5.0,24,2020-10-05,In Review,3513.61,21420.34
17,1056,personal,10722.49,0.1415,120,2018-04-13,PAID,167.45,7492.51
18,1041,personal,228923.74,13.97,36,17-Apr-2021,current,7820.74,193536.55
19,1073,Auto,17421.22,5.31,120,01-Sep-2021,In Review,187.43,16037.77
20,1182,Auto,262019.80,3.89%,24,2022-08-01,Current,11365.37,223950.26
21,1191,MORTGAGE,9621.32,0.1799,48,2023-03-25,In Review,282.58,3079.69
22,1119,Auto,189920.90,0.0776,60,2021-07-11,Delinquent,3829.13,153398.93
23,1089,auto,5779.06,0.0752,360,2019-07-22,DELINQUENT,40.49,3119.7
24,1134,mortgage,10873.92,0.0434,12,03/22/2020,Delinquent,927.6,8912.16
25,1166,Student,25972455,15.04,48,"Apr 14, 2022",Paid Off,,111478.81
26,1105,auto,13209.12,10.96,120,"Mar 17, 2018",paid_off,181.66,8940.67
27,1096,AUTO,"$13,182.43",0.1474,48,11/18/2021,DEFAULT,365.14,2568.21
28,1146,Personal,5575.17,14.3,36,07/11/2022,delinquent,191.36,3718.43
29,1036,personal,17184.74,14.30%,24,2018-07-31,Current,827.53,1722.72
30,1100,Mortgage,52023.2,0.1357,120,21-Mar-2020,in_review,,7945.67
31,1173,AUTO,17344.38,16.31,180,24-Jan-2018,Paid Off,258.5,3102.9
32,1126,Personal,9006003,13.02%,36,"Oct 12, 2018",delinquent,3035.35,62559.98
33,1059,Student,9513.37,3.71%,60,18-Jun-2018,DEFAULT,173.96,4928.5
34,1033,Student,4104612,0.1515,120,"Sep 01, 2019",current,665.99,34594.4
35,1135,student,44451.29,7.15%,180,"Aug 10, 2020",In Review,403.28,30233.48
36,1063,PERSONAL,27571.38,0.0614,120,01/18/2018,PAID,308.04,4985.51
37,1119,auto,233891.59,13.67%,36,11-May-2020,DEFAULT,7956.42,59915.55
38,1110,student,60206.92,13.41,48,"Oct 27, 2018",default,,20777.21
39,1053,student,17183818,0.0913,36,"May 03, 2022",PAID,5474.81,142011.46
40,1138,personal,"$20,051.41",0.18,12,09/24/2018,default,,7626.55
41,1108,AUTO,"$4,084.48",0.1302,24,03-Jun-2021,Current,194.22,3726.74
42,1135,auto,1310543,10.69,180,2019-12-30,CURRENT,146.41,4765.6
43,1047,AUTO,86816.79,10.13,24,"Jul 03, 2018",in_review,4011.37,86606.07
44,1039,mortgage,17375.75,10.51%,360,2022-03-26,paid_off,159.07,10431.46
45,1134,AUTO,16502.77,5.70%,24,"Jun 11, 2023",Default,729.18,7718.73
46,1087,mortgage,7527664,14.52,180,"Aug 21, 2020",CURRENT,1028.92,28352.63
47,1130,Personal,"$21,685.03",11.08,36,02-Nov-2019,In Review,710.76,10755.05
48,1032,Student,"$45,773.13",4.86%,360,05/23/2018,paid_off,241.82,20247.83
49,1093,mortgage,83745.9,8.22%,24,24-Jun-2019,Paid Off,3796.01,46479.56
50,1052,Personal,350966.03,0.1751,36,07/30/2018,PAID,12602.16,68559.76
51,1012,AUTO,21773590,8.71%,60,"Jan 18, 2021",Delinquent,4489.26,131854.73
52,1028,Student,997142,0.056,180,2021-07-01,paid_off,82.0,4390.05
53,1199,mortgage,"$57,330.80",4.88,12,06/10/2021,paid_off,4904.79,11308.5
54,1071,mortgage,26655.22,0.1171,12,2019-09-01,delinquent,2364.67,11253.68
55,1190,Mortgage,4387.3,17.48,60,04-May-2019,In Review,110.17,2516.51
56,1185,Mortgage,"$50,906.87",17.44,48,22-Aug-2019,in_review,,30475.76
57,1019,Auto,80658.32,0.1083,48,2022-11-06,default,2078.0,67327.13
58,1029,MORTGAGE,1746500,12.47%,12,"May 13, 2022",Paid Off,1555.59,13175.85
59,1108,auto,74994.29,14.61%,360,2022-06-22,delinquent,924.92,
60,1137,Personal,5914.28,3.94,36,2020-05-06,Current,174.46,5667.59
61,1099,MORTGAGE,19840392,3.07,12,"Apr 07, 2021",Current,16809.89,46565.74
62,1058,auto,"$48,018.27",8.08,60,05-May-2022,Current,975.48,17488.16
63,1154,PERSONAL,"$12,092.07",0.0394,120,24-May-2022,CURRENT,,11020.08
64,1146,Auto,1419187,16.93,48,11-Nov-2021,in_review,408.99,5797.23
65,1080,personal,87452.47,0.0936,60,"Dec 04, 2021",DELINQUENT,1830.69,62206.37
66,1166,personal,"$79,216.28",12.7,48,"May 12, 2020",DEFAULT,,34698.98
67,1137,personal,26689.94,17.12%,12,24-Feb-2023,current,2435.77,13604.6
68,1173,Personal,994060,0.0584,360,2019-11-16,Default,58.58,2518.35
69,1059,personal,201267.22,12.16%,360,15-Mar-2018,current,2095.08,35772.96
70,1044,AUTO,1859924,5.06%,48,10-Jul-2020,Current,428.83,15793.11
71,1160,Student,"$348,082.99",12.77%,60,01/08/2018,PAID,7879.04,217121.77
72,1030,student,5594217,15.86,180,01/23/2019,Current,816.17,40589.84
73,1169,AUTO,11998.86,0.1666,48,2021-02-22,default,344.12,10022.83
74,1046,Mortgage,2077895,14.07%,48,24-Jan-2020,delinquent,568.55,11155.31
75,1082,auto,43811.31,0.112,36,"May 09, 2019",default,1438.48,
76,1009,MORTGAGE,27847868,16.69%,48,13-Dec-2020,CURRENT,7990.92,168077.11
77,1149,MORTGAGE,9505496,16.18%,24,04/03/2018,in_review,4662.37,18827.82
78,1149,Student,"$17,626.82",12.40%,48,"Jun 27, 2019",DELINQUENT,467.65,7864.35
79,1039,MORTGAGE,5498427,10.54,24,08/05/2018,in_review,2550.97,29600.28
80,1137,Mortgage,202075.38,8.51,360,"Sep 10, 2019",DELINQUENT,,73553.78
81,1192,personal,530725,0.0336,12,17-Jan-2023,Current,450.36,4626.77
82,1026,mortgage,"$15,179.60",6.33%,60,"Jun 22, 2022",in_review,295.8,11044.02
83,1194,Personal,5792.37,12.12%,120,"Aug 14, 2021",DELINQUENT,83.51,3207.11
84,1162,personal,"$114,958.54",14.03%,12,2018-06-20,PAID,10323.42,69191.12
85,1125,student,16111.94,0.0668,180,28-May-2021,Paid Off,141.95,8939.36
86,1140,mortgage,274534.63,6.64%,48,"Feb 09, 2019",CURRENT,,70871.59
87,1042,mortgage,2216890,15.56,120,27-Feb-2020,Default,365.3,4760.11
88,1180,Auto,21368.52,17.98%,12,11/30/2018,delinquent,,2236.34
89,1182,auto,"$41,136.92",15.83%,48,03-Feb-2020,Current,1162.25,28256.76
90,1179,student,"$14,555.32",0.1008,120,"Oct 04, 2022",delinquent,,9981.7
91,1009,Personal,"$12,406.89",6.27,24,"Mar 19, 2019",Default,551.39,3567.33
92,1184,auto,2328270,0.1695,36,"Aug 14, 2020",Paid Off,829.51,22547.97
93,1110,Personal,11715363,9.05%,36,2022-04-10,Current,3728.18,
94,1060,student,53495.14,12.18,48,2023-02-04,Delinquent,,33440.43
95,1023,MORTGAGE,"$82,047.09",0.1757,120,"Jul 05, 2019",CURRENT,1455.73,15668.4
96,1036,AUTO,90824.61,10.69,60,2020-03-20,Paid Off,1960.73,67604.47
97,1093,mortgage,53137.13,0.1153,60,19-Sep-2018,DELINQUENT,1169.42,20564.81
98,1190,personal,9441.44,14.90%,360,"Nov 16, 2021",in_review,118.63,8561.67
99,1095,Auto,"$28,434.14",8.11,36,11/05/2018,In Review,892.47,
100,1108,Personal,1541770,12.71,60,05/06/2022,PAID,,9785.05
101,1054,AUTO,1221532,10.8,360,"Mar 19, 2020",in_review,,10924.12
102,1052,Personal,"$16,940.04",16.43%,180,20-Nov-2022,DEFAULT,253.9,11598.81
103,1180,student,16613031,15.48,120,08/05/2022,in_review,2729.3,32581.16
104,1021,auto,192017.43,11.04,48,2021-02-13,DEFAULT,4966.52,134890.24
105,1199,student,269408.73,6.79%,360,2019-04-29,Current,1754.55,28521.24
106,1045,mortgage,1709009,13.44%,12,03/26/2018,current,1529.97,8401.96
107,1162,personal,"$8,105.41",16.6,60,01/20/2021,DELINQUENT,199.7,5528.61
108,1133,personal,1350024,4.56%,360,2020-04-11,Paid Off,68.89,8010.59
109,1085,Student,8109.02,0.0749,360,09/05/2021,In Review,,6205.12
110,1173,personal,8759.64,15.83%,12,"Feb 02, 2023",Default,794.07,6663.02
111,1058,AUTO,5329277,12.28%,24,10-Dec-2022,paid_off,2515.65,10774.72
112,1016,personal,"$89,158.18",7.81%,48,2023-05-19,delinquent,2168.67,69204.25
113,1129,Student,"$19,959.59",7.81%,180,"Aug 07, 2018",Paid Off,188.56,16856.06
114,1172,AUTO,4211.76,0.1131,12,"Feb 14, 2023",CURRENT,372.85,1326.94
115,1091,mortgage,6202857,0.1244,120,25-Jun-2023,CURRENT,905.78,44343.77
116,1080,Auto,46117.57,10.23,12,"Sep 01, 2018",DELINQUENT,4059.4,5066.82
117,1145,Student,1869520,0.1667,360,"Jan 12, 2022",PAID,261.53,3756.33
118,1083,Student,9133.32,0.0688,48,02-Jan-2019,DEFAULT,218.2,6128.68
119,1041,mortgage,"$21,282.41",13.2,24,"Jan 08, 2020",In Review,1013.81,8463.4
120,1056,mortgage,12140.62,4.72,48,2021-06-01,DEFAULT,278.05,6937.73
121,1075,MORTGAGE,"$343,976.75",0.0317,180,05-Oct-2020,Current,2403.67,340006.23
122,1008,MORTGAGE,15357.34,0.1716,12,03/05/2018,default,1401.83,4732.29
123,1143,Student,17076.64,0.1041,180,19-Oct-2021,paid_off,187.81,7125.89
124,1116,mortgage,21787.15,17.30%,48,06/14/2022,Paid Off,632.06,17284.27
125,1101,personal,"$229,946.02",6.6,180,"Jan 02, 2021",CURRENT,2015.74,158533.46
