transaction_id,account_id,transaction_date,amount,transaction_type,category,description,merchant,currency,status
1,5192,2023-07-01,-4141.39,DR,cash,ATM Withdrawal,Walmart,USD,Failed
2,5211,"Apr 17, 2023",-6018.86,debit,travel,Travel,CVS Pharmacy,USD,Complete
3,5241,08-May-2023,8683.36,DR,purchase,Netflix,Netflix,USD,declined
4,5338,28-Sep-2023,6396.68,debit,Salary,Netflix,Netflix,MXN,COMPLETED
5,5293,"Mar 16, 2024",-9248.18,DR,bills,bills,Apple,USD,pending
6,5163,13-Jun-2024,-2194.98,Debit,Cash,Cash,Apple,USD,Pending
7,5105,04/06/2023,4156.06,Debit,Transfer,,Amazon,USD,failed
8,5324,02-Jan-2024,6199.31,Credit,atm,ATM Withdrawal,United Airlines,USD,C
9,5043,05/28/2023,1054.74,credit,food,Food & Dining,Starbucks,USD,completed
10,5254,"Jan 06, 2024",957.28,DR,Bills,United Airlines,United Airlines,USD,failed
11,5231,2023-06-14,97.32,debit,ATM Withdrawal,ATM Withdrawal,CVS Pharmacy,USD,P
12,5380,2023-09-18,5758.45,Debit,Xfer,Whole Foods,Whole Foods,USD,COMPLETED
13,5113,27-Mar-2023,2600.56,credit,ATM Withdrawal,null,Apple,USD,FAILED
14,5254,22-Mar-2024,-2376.63,DEBIT,healthcare,healthcare,Spotify,USD,F
15,5106,05/14/2024,4026.08,CREDIT,medical,United Airlines,United Airlines,USD,Pending
16,5324,07-Mar-2023,-8449.88,DEBIT,TRAVEL,null,Apple,USD,Completed
17,5059,07/04/2023,7513.72,credit,Retail,Shell,Shell,USD,completed
18,5005,23-Nov-2023,2031.62,CREDIT,food & drink,food & drink,United Airlines,USD,P
19,5112,"Apr 16, 2023",-5452.94,DR,payroll,null,Amazon,USD,Completed
20,5141,2024-03-07,4302.01,DR,TRANSFER,,Apple,USD,C
21,5068,17-Feb-2024,3205.87,credit,Food & Dining,Starbucks,Starbucks,MXN,pending
22,5041,17-Nov-2023,3737.22,CR,Travel,Travel,Walmart,USD,Completed
23,5115,2023-02-18,999.68,DR,DINING,Food & Dining,Shell,USD,C
24,5023,"Apr 24, 2023",713.83,DR,Restaurants,Food & Dining,Spotify,USD,COMPLETED
25,5164,01-Jun-2023,4244.96,Credit,Health,unknown,Starbucks,CAD,Complete
26,5048,"Sep 28, 2023",3354.24,Credit,payroll,Payroll,Walmart,USD,Complete
27,5007,08/10/2023,1786.03,CREDIT,Hotel,Travel,Apple,EUR,declined
28,5067,"Aug 13, 2023",9263.14,Credit,Retail,Retail,Starbucks,USD,failed
29,5158,15-Apr-2023,8323.99,Credit,Cash,ATM Withdrawal,Target,USD,PENDING
30,5339,"Jun 27, 2024",2523.73,credit,hotel,null,Target,USD,P
31,5171,24-Feb-2023,3513.55,DR,Airline,N/A,Spotify,MXN,P
32,5222,2023-04-22,-9110.27,debit,restaurants,Netflix,Netflix,USD,Complete
33,5318,19-Feb-2024,-963.29,DEBIT,medical,Shell,Shell,USD,FAILED
34,5002,2023-04-07,-8624.03,DEBIT,cash,cash,Apple,USD,COMPLETED
35,5171,2024-04-11,6327.63,debit,ATM,Target,Target,USD,PENDING
36,5299,2023-01-02,-4489.93,DEBIT,airline,Walmart,Walmart,USD,F
37,5377,10-Dec-2023,-6981.01,DEBIT,HOTEL,Amazon,Amazon,USD,FAILED
38,5171,06/14/2024,2565.14,debit,travel,Apple,Apple,USD,PENDING
39,5016,"Sep 08, 2023",1960.72,credit,Medical,Medical,Apple,MXN,C
40,5348,24-Dec-2023,-5597.32,DEBIT,Retail,Shopping,Google,USD,pending
41,5233,12/22/2023,-9209.99,Debit,payroll,Starbucks,Starbucks,USD,PENDING
42,5148,"Mar 08, 2023",4312.2,credit,Payroll,Amazon,Amazon,USD,failed
43,5001,02/21/2023,-3327.72,Debit,PAYROLL,null,Google,USD,Failed
44,5042,25-Oct-2023,-4495.72,DR,Utilities,Utilities,Starbucks,USD,Failed
45,5224,"Nov 27, 2023",-7293.01,DR,CASH,CASH,Starbucks,USD,pending
46,5224,"Apr 09, 2023",4198.62,CREDIT,cash,unknown,CVS Pharmacy,USD,PENDING
47,5015,28-Jan-2023,-7180.88,DEBIT,Healthcare,Healthcare,Netflix,USD,F
48,5202,2023-05-09,57.55,CR,Health,Starbucks,Starbucks,USD,Failed
49,5050,10/25/2023,-8211.12,debit,hotel,hotel,CVS Pharmacy,CAD,declined
50,5346,06/08/2023,6832.13,CR,direct deposit,Payroll,Amazon,USD,P
51,5050,2023-09-11,4501.08,CR,Utilities,unknown,unknown,USD,pending
52,5248,2023-07-08,8053.57,CR,UTILITIES,UTILITIES,Apple,USD,COMPLETED
53,5382,2023-09-04,7046.07,CR,cash,unknown,Apple,USD,Pending
54,5342,"Oct 09, 2023",6628.0,DR,medical,Healthcare,Spotify,MXN,Failed
55,5156,04-Feb-2023,-8627.12,Debit,Travel,Travel,Target,USD,Pending
56,5362,21-Jun-2024,597.21,CREDIT,MEDICAL,Target,Target,USD,declined
57,5202,11-Mar-2023,-9144.31,Debit,Hotel,null,Shell,USD,completed
58,5024,01/31/2023,918.04,CREDIT,atm,ATM Withdrawal,Google,MXN,declined
59,5090,2024-01-29,-589.24,debit,Healthcare,Healthcare,Shell,USD,Pending
60,5056,05-Apr-2024,9394.28,Credit,healthcare,healthcare,CVS Pharmacy,USD,Complete
61,5380,2023-06-15,5021.5,credit,health,health,Apple,USD,Completed
62,5072,"Jan 06, 2023",3876.85,credit,purchase,purchase,Google,USD,Declined
63,5107,2024-04-30,-5875.93,Debit,SHOPPING,Shopping,United Airlines,USD,COMPLETED
64,5265,02-Nov-2023,4738.27,CREDIT,TRANSFER,,Starbucks,CAD,FAILED
65,5184,"Mar 11, 2023",-711.31,DEBIT,ATM Withdrawal,Walmart,Walmart,USD,failed
66,5016,2023-02-03,2479.11,debit,Retail,Retail,Apple,USD,PENDING
67,5038,2023-02-06,9024.17,credit,Shopping,Shopping,Starbucks,USD,Completed
68,5255,06/03/2024,3328.1,Credit,utility,,Amazon,USD,failed
69,5351,"Jan 19, 2023",-3678.3,Debit,Travel,Travel,Walmart,USD,declined
70,5316,01/12/2024,3260.35,Credit,shopping,N/A,Amazon,USD,FAILED
71,5386,16-Feb-2023,7720.1,CR,restaurants,restaurants,Shell,EUR,C
72,5067,02/12/2024,6237.95,Credit,travel,unknown,Shell,CAD,FAILED
73,5155,"Jan 11, 2024",5005.49,credit,Direct Deposit,United Airlines,United Airlines,USD,completed
74,5105,05/21/2023,7048.39,CREDIT,UTIL,N/A,N/A,USD,failed
